experiment,step,loss,loss_ma25
GT LoRA,4700,0.01089000,0.02789828
GT LoRA,4710,0.03244000,0.02904848
GT LoRA,4720,0.06961800,0.03150380
GT LoRA,4730,0.00858000,0.02952040
GT LoRA,4740,0.00712800,0.02940056
GT LoRA,4750,0.02969900,0.03049448
GT LoRA,4760,0.01947300,0.03033644
GT LoRA,4770,0.00081800,0.02942948
GT LoRA,4780,0.00264000,0.02920152
GT LoRA,4790,0.02538100,0.02919044
GT LoRA,4800,0.00441900,0.02802312
GT LoRA,4810,0.01017400,0.02757296
GT LoRA,4820,0.02428200,0.02573236
GT LoRA,4830,0.02257500,0.02418732
GT LoRA,4840,0.00570600,0.02425840
GT LoRA,4850,0.07307700,0.02704048
GT LoRA,4860,0.00586500,0.02632436
GT LoRA,4870,0.00779100,0.02620148
GT LoRA,4880,0.02071400,0.02390336
GT LoRA,4890,0.01299400,0.02209052
GT LoRA,4900,0.00067400,0.01904424
GT LoRA,4910,0.01558100,0.01899164
GT LoRA,4920,0.00447200,0.01798236
GT LoRA,4930,0.00928400,0.01736056
GT LoRA,4940,0.00807300,0.01729392
GT LoRA,4950,0.00939100,0.01723396
GT LoRA,4960,0.00624400,0.01618612
GT LoRA,4970,0.10330700,0.01753368
GT LoRA,4980,0.03640000,0.01864648
GT LoRA,4990,0.00867500,0.01870836
GT LoRA,5000,0.00902300,0.01788132
GT LoRA,5010,0.00128400,0.01715376
GT LoRA,5020,0.00423200,0.01729032
GT LoRA,5030,0.01910100,0.01794876
GT LoRA,5040,0.01816100,0.01765996
GT LoRA,5050,0.01254200,0.01798488
GT LoRA,5060,0.00125400,0.01762808
GT LoRA,5070,0.01665200,0.01732288
GT LoRA,5080,0.03936900,0.01799464
GT LoRA,5090,0.03483100,0.01915964
GT LoRA,5100,0.03957000,0.01781936
GT LoRA,5110,0.04216800,0.01927148
GT LoRA,5120,0.01067100,0.01938668
GT LoRA,5130,0.00902100,0.01891896
GT LoRA,5140,0.01709200,0.01908288
GT LoRA,5150,0.00119200,0.01910360
GT LoRA,5160,0.02188000,0.01935556
GT LoRA,5170,0.01912300,0.01994160
GT LoRA,5180,0.00421300,0.01973876
GT LoRA,5190,0.03768100,0.02092308
GT LoRA,5200,0.01130900,0.02099980
GT LoRA,5210,0.08511000,0.02415444
GT LoRA,5220,0.00288700,0.02013764
GT LoRA,5230,0.03394500,0.02003944
GT LoRA,5240,0.00865700,0.02003872
GT LoRA,5250,0.07205000,0.02255980
GT LoRA,5260,0.01823500,0.02323784
GT LoRA,5270,0.00194900,0.02314652
GT LoRA,5280,0.01602500,0.02302348
GT LoRA,5290,0.07159200,0.02516072
GT LoRA,5300,0.00731300,0.02495156
GT LoRA,5310,0.00114400,0.02494716
GT LoRA,5320,0.00265200,0.02438716
GT LoRA,5330,0.00283900,0.02292596
GT LoRA,5340,0.03583000,0.02296592
GT LoRA,5350,0.01028800,0.02179464
GT LoRA,5360,0.01713600,0.02079336
GT LoRA,5370,0.00633100,0.02061976
GT LoRA,5380,0.02539000,0.02127452
GT LoRA,5390,0.04901300,0.02255136
GT LoRA,5400,0.00761100,0.02280812
GT LoRA,5410,0.03283700,0.02324640
GT LoRA,5420,0.00105800,0.02252380
GT LoRA,5430,0.01457600,0.02293832
GT LoRA,5440,0.00401000,0.02159148
GT LoRA,5450,0.01583800,0.02177264
GT LoRA,5460,0.00794700,0.01868612
GT LoRA,5470,0.00816400,0.01889720
GT LoRA,5480,0.00186800,0.01761412
GT LoRA,5490,0.07246600,0.02016648
GT LoRA,5500,0.01476400,0.01787504
GT LoRA,5510,0.00043300,0.01716296
GT LoRA,5520,0.00302900,0.01720616
GT LoRA,5530,0.01464500,0.01715096
GT LoRA,5540,0.05428700,0.01645876
GT LoRA,5550,0.05147200,0.01822512
GT LoRA,5560,0.01564800,0.01880528
GT LoRA,5570,0.01597100,0.01933804
GT LoRA,5580,0.00179400,0.01929624
GT LoRA,5590,0.01229000,0.01835464
GT LoRA,5600,0.04845700,0.01988140
GT LoRA,5610,0.00081400,0.01922852
GT LoRA,5620,0.00488500,0.01917068
GT LoRA,5630,0.01056100,0.01857752
GT LoRA,5640,0.00080100,0.01664904
GT LoRA,5650,0.02086000,0.01717900
GT LoRA,5660,0.05690200,0.01814160
GT LoRA,5670,0.06955100,0.02088132
GT LoRA,5680,0.03897800,0.02185740
GT LoRA,5690,0.00308200,0.02182028
GT LoRA,5700,0.01134900,0.02164072
GT LoRA,5710,0.01444500,0.02190064
GT LoRA,5720,0.04424200,0.02334376
GT LoRA,5730,0.05053400,0.02529040
GT LoRA,5740,0.01247400,0.02289072
GT LoRA,5750,0.01848600,0.02303960
GT LoRA,5760,0.07181000,0.02589468
GT LoRA,5770,0.01485900,0.02636788
GT LoRA,5780,0.06931300,0.02855460
GT LoRA,5790,0.04190300,0.02805924
GT LoRA,5800,0.04012700,0.02760544
GT LoRA,5810,0.03424700,0.02834940
GT LoRA,5820,0.01544900,0.02832852
GT LoRA,5830,0.01035100,0.02867080
